experiment,method,seed,evaluation_split,parameters,algorithm_time,compilation_time,drift_rmse,covariance_rmse,nll,raw_spd_violation_rate,min_raw_eigenvalue
ex2,fourier,21,validation,3072,7.664728674979415,7.688928130024578,0.27653563022613525,0.0008320700726471841,-11.584488868713379,0.0,5.789965143776499e-05
ex2,fourier,22,validation,3072,7.6520170560106635,7.6445535129169,0.28389763832092285,0.0008617109851911664,-11.5812349319458,0.0,5.7629185903351754e-05
ex2,fourier,23,validation,3072,7.993222938035615,7.289755364996381,0.257516473531723,0.0006454886752180755,-11.58688735961914,0.0,5.792647061753087e-05
ex2,fourier,24,validation,3072,7.274051581975073,7.612872282974422,0.26605385541915894,0.0007607575389556587,-11.584285736083984,0.0,5.8025281759910285e-05
ex2,fourier,25,validation,3072,7.546187945990823,7.471296034986153,0.2689553201198578,0.0007868321263231337,-11.583775520324707,0.0,5.859057273482904e-05
ex2,fourier,26,validation,3072,7.57519876700826,7.9185444000177085,0.28179341554641724,0.0008597041596658528,-11.58288860321045,0.0,5.776999023510143e-05
ex2,fourier,27,validation,3072,8.256772576947697,7.397146409086417,0.2786268889904022,0.0007731567602604628,-11.581320762634277,0.0,5.77543796680402e-05
ex2,fourier,28,validation,3072,7.447942492959555,7.583503269008361,0.27306047081947327,0.0008177785202860832,-11.582969665527344,0.0,5.8357709349365905e-05
ex2,fourier,29,validation,3072,7.839042589010205,7.377500165021047,0.27842003107070923,0.0008465916034765542,-11.584546089172363,0.0,5.773660450358875e-05
ex2,mlp_shallow,0,validation,2185,8.356154942011926,8.534543952089734,0.02385692112147808,0.00026132643688470125,-11.609602928161621,0.0,5.536523531191051e-05
ex2,mlp_shallow,1,validation,2185,8.84994863398606,8.63647011097055,0.02357976697385311,0.0002694383729249239,-11.609726905822754,0.0,5.5358897952828556e-05
ex2,mlp_shallow,2,validation,2185,7.5640849309857,8.734205844986718,0.02377180941402912,0.00028070039115846157,-11.60959243774414,0.0,5.532398063223809e-05
ex2,mlp_shallow,3,validation,2185,8.019527641998138,8.829035605944227,0.02338208258152008,0.0002627635549288243,-11.609285354614258,0.0,5.510461414814927e-05
ex2,mlp_shallow,4,validation,2185,8.318966221995652,8.300707833957858,0.024055080488324165,0.000274477933999151,-11.609148979187012,0.0,5.5396500101778656e-05
ex2,mlp_shallow,5,validation,2185,8.590791839000303,8.515798912965693,0.023784320801496506,0.00027534979744814336,-11.610042572021484,0.0,5.513587893801741e-05
ex2,mlp_shallow,6,validation,2185,8.11857107898686,8.327654097927734,0.023015465587377548,0.0002821209782268852,-11.608611106872559,0.0,5.55358492420055e-05
ex2,mlp_shallow,7,validation,2185,7.994780432956759,8.482628124009352,0.0236870888620615,0.00028139015194028616,-11.610624313354492,0.0,5.499317921930924e-05
ex2,mlp_shallow,8,validation,2185,8.62192015198525,8.30851811595494,0.023449264466762543,0.0002729026891756803,-11.608538627624512,0.0,5.53270620002877e-05
ex2,mlp_shallow,9,validation,2185,8.504837360989768,8.663161278003827,0.023539485409855843,0.0002660552563611418,-11.609870910644531,0.0,5.5330543546006083e-05
ex2,mlp_shallow,10,validation,2185,8.251067868026439,8.473355771042407,0.023785119876265526,0.0002716254675760865,-11.6085205078125,0.0,5.532165596378036e-05
ex2,mlp_shallow,11,validation,2185,8.470631723990664,8.971634207991883,0.023854276165366173,0.0002786245313473046,-11.609270095825195,0.0,5.53697973373346e-05
ex2,mlp_shallow,12,validation,2185,8.756975886994042,8.463692737044767,0.0237402506172657,0.00027249165577813983,-11.61009693145752,0.0,5.520375998457894e-05
ex2,mlp_shallow,13,validation,2185,8.4466187049984,9.135961328982376,0.02374213933944702,0.00027467714971862733,-11.609846115112305,0.0,5.524885273189284e-05
ex2,mlp_shallow,14,validation,2185,7.980478255019989,8.21029991103569,0.023828215897083282,0.0002795971813611686,-11.610344886779785,0.0,5.530393900698982e-05
ex2,mlp_shallow,15,validation,2185,8.18310985295102,9.040427175001241,0.023674460127949715,0.00026376257301308215,-11.610498428344727,0.0,5.50071126781404e-05
ex2,mlp_shallow,16,validation,2185,8.048571766994428,9.077297446958255,0.02364063262939453,0.0002748154802247882,-11.610352516174316,0.0,5.539970879908651e-05
ex2,mlp_shallow,17,validation,2185,8.384738237014972,9.34799713396933,0.023638833314180374,0.00027243286604061723,-11.609687805175781,0.0,5.538683763006702e-05
ex2,mlp_shallow,18,validation,2185,7.744433255051263,8.181820476951543,0.023713571950793266,0.0002796012267936021,-11.609724998474121,0.0,5.528131077880971e-05
ex2,mlp_shallow,19,validation,2185,8.208170783007517,8.855565259000286,0.023511556908488274,0.0002706133818719536,-11.609386444091797,0.0,5.518105535884388e-05
ex2,mlp_shallow,20,validation,2185,8.108416047994979,9.00957810296677,0.02351706102490425,0.0002714823349379003,-11.610588073730469,0.0,5.516204328159802e-05
ex2,mlp_shallow,21,validation,2185,8.201770562969614,9.142753674008418,0.023563304916024208,0.00026706571225076914,-11.610494613647461,0.0,5.504360160557553e-05
ex2,mlp_shallow,22,validation,2185,8.228177551005501,8.747834482986946,0.02358044497668743,0.0002571319055277854,-11.61018180847168,0.0,5.5248856369871646e-05
ex2,mlp_shallow,23,validation,2185,7.992765748989768,9.208324444014579,0.02372254803776741,0.0002856719365809113,-11.61057186126709,0.0,5.527631219592877e-05
ex2,mlp_shallow,24,validation,2185,8.628241149999667,8.722327775030863,0.023530958220362663,0.000273327314062044,-11.60944938659668,0.0,5.515548764378764e-05
ex2,mlp_shallow,25,validation,2185,8.465450636984315,8.75104352796916,0.023661423474550247,0.0002782379451673478,-11.61083984375,0.0,5.524082007468678e-05
ex2,mlp_shallow,26,validation,2185,8.004852227983065,8.735957614029758,0.023982740938663483,0.0002645337663125247,-11.61068058013916,0.0,5.517493264051154e-05
ex2,mlp_shallow,27,validation,2185,7.90134520403808,8.865286612999626,0.0236447062343359,0.00027134959236718714,-11.6105318069458,0.0,5.5298969527939335e-05
ex2,mlp_shallow,28,validation,2185,8.935476153972559,8.405810502939858,0.02363564260303974,0.00026823909138329327,-11.610475540161133,0.0,5.5357209930662066e-05
ex2,mlp_shallow,29,validation,2185,8.481345948006492,8.89160037500551,0.023536913096904755,0.0002802457311190665,-11.610200881958008,0.0,5.533228613785468e-05
ex2,mlp_deep,0,validation,9417,8.375078590994235,9.754705331928562,0.02594265714287758,0.00017437840870115906,-11.60490894317627,0.0,5.737434548791498e-05
ex2,mlp_deep,1,validation,9417,8.494949840009212,10.300090564996935,0.02655208297073841,0.00018316191562917084,-11.603654861450195,0.0,5.857019641553052e-05
ex2,mlp_deep,2,validation,9417,9.45844452403253,9.99586815899238,0.027318784967064857,0.00017356310854665935,-11.605911254882812,0.0,5.7581863075029105e-05
ex2,mlp_deep,3,validation,9417,9.04702592198737,10.031841342046391,0.026260502636432648,0.0001816762232920155,-11.606191635131836,0.0,5.8460671425564215e-05
ex2,mlp_deep,4,validation,9417,8.129508609010372,9.555215863976628,0.026887796819210052,0.0001888683036668226,-11.604767799377441,0.0,5.832440365338698e-05
ex2,mlp_deep,5,validation,9417,8.775219483999535,10.011051414068788,0.02696886658668518,0.00018803655984811485,-11.605460166931152,0.0,5.844127736054361e-05
ex2,mlp_deep,6,validation,9417,8.931203451997135,10.433329519000836,0.025733375921845436,0.00018384733994025737,-11.603805541992188,0.0,5.857686483068392e-05
ex2,mlp_deep,7,validation,9417,8.801712039043196,10.498572807002347,0.028472483158111572,0.00017355817544739693,-11.604992866516113,0.0,5.733932994189672e-05
ex2,mlp_deep,8,validation,9417,8.234096947999205,9.905841780942865,0.028602536767721176,0.00017295863653998822,-11.605936050415039,0.0,5.756632162956521e-05
ex2,mlp_deep,9,validation,9417,8.645836736017372,10.107363235962112,0.02903073839843273,0.00018698786152526736,-11.605420112609863,0.0,5.8333203924121335e-05
ex2,mlp_deep,10,validation,9417,8.605359760986175,9.921469697088469,0.028249306604266167,0.0001882007927633822,-11.605132102966309,0.0,5.837990465806797e-05
ex2,mlp_deep,11,validation,9417,8.692039321991615,10.470947017951403,0.02980746515095234,0.0001705015602055937,-11.604022979736328,0.0,5.741592758568004e-05
