K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,3,regime_N,h_0.0001,14336,218.56886189698707,290,-8.80277443,0.431126177,1.91249549,1.23186182e-05,-8.83271027,0.431373149,1.89987803,1.2497735e-05,-8.7937994,0.436922133,1.88061976,1.24048602e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,4,regime_N,h_0.0001,14336,227.26563573500607,292,-8.87862015,0.474965572,1.92734075,1.04739875e-05,-8.91114235,0.474058449,1.94412553,1.0434147e-05,-8.86880016,0.481969178,1.89525378,1.08393651e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,5,regime_N,h_0.0001,14336,219.21253273100592,284,-8.82161522,0.481257617,2.25084138,1.68724164e-05,-8.85496807,0.480849266,2.26003623,1.68807801e-05,-8.81498146,0.487532496,2.24672413,1.69163814e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,6,regime_N,h_0.0001,14336,221.33743058296386,299,-8.76577854,0.519573033,3.6464119,1.66249538e-05,-8.80392265,0.519438624,3.64575982,1.70337862e-05,-8.77100182,0.528048456,3.58569551,1.69614395e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,7,regime_N,h_0.0001,14336,219.65951479203068,282,-8.8427496,0.513476789,2.62054968,9.72136604e-06,-8.88799477,0.511992633,2.64989614,1.02216663e-05,-8.85525322,0.522225142,2.58903885,9.68041149e-06,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,8,regime_N,h_0.0001,14336,212.92971579101868,268,-8.84733772,0.492359221,2.1396215,1.46629154e-05,-8.881217,0.493507326,2.14810562,1.47652072e-05,-8.84242916,0.496249169,2.13499928,1.47667315e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,joint_fourier,9,regime_N,h_0.0001,14336,219.99222668097354,292,-8.78059483,0.451944053,2.83500528,1.14434988e-05,-8.82265568,0.453051656,2.82416534,1.15313114e-05,-8.78929329,0.456986248,2.75950623,1.16231076e-05,,,,,,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,0,regime_N,h_0.0001,14336,1093.5263670709683,,-8.810201644897461,0.6382158994674683,1.5928715467453003,,-8.845864295959473,0.64047771692276,1.5845692157745361,,-8.812941551208496,0.6441859006881714,1.573054313659668,,10,269,1.2875340871687513e-05,1.3671707165485714e-05,1.3155438864487223e-05,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,1,regime_N,h_0.0001,14336,1159.8348255499732,,-8.801129341125488,0.6458104252815247,1.3345342874526978,,-8.855405807495117,0.6496307253837585,1.3380573987960815,,-8.815606117248535,0.6547349691390991,1.317041277885437,,6,285,1.9630622773547657e-05,1.9795526895904914e-05,2.015931750065647e-05,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,2,regime_N,h_0.0001,14336,1157.525308614946,,-8.804707527160645,0.6520028114318848,1.1447609663009644,,-8.830354690551758,0.6550701260566711,1.1450660228729248,,-8.812249183654785,0.6583037376403809,1.1404138803482056,,5,293,3.185788227710873e-05,3.185903187841177e-05,3.193696102243848e-05,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,3,regime_N,h_0.0001,14336,1122.2111795570236,,-8.816710472106934,0.6491147875785828,1.1441330909729004,,-8.846026420593262,0.6522740721702576,1.138725996017456,,-8.813010215759277,0.6573917269706726,1.1311019659042358,,5,288,2.405915984127205e-05,2.4114226107485592e-05,2.4028890038607642e-05,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,4,regime_N,h_0.0001,14336,1133.7049422130222,,-8.88329792022705,0.6816114187240601,0.9857653975486755,,-8.9079008102417,0.6872270703315735,0.9796229004859924,,-8.886088371276855,0.6751068830490112,0.9717414379119873,,1,299,2.4840148398652673e-05,2.522425893403124e-05,2.4962530005723238e-05,,,,,,,,
1024,160000,dataset_roots/N_160000/h_0.0001,0.0001,split_fourier,5,regime_N,h_0.0001,14336,1154.0264659400564,,-8.80150032043457,0.592416524887085,1.433187484741211,,-8.836867332458496,0.5947859883308411,1.4315381050109863,,-8.804556846618652,0.5956292748451233,1.4260292053222656,,2,298,2.4140788809745573e-05,2.4302154997712933e-05,2.4250468413811177e-05,,,,,,,,
