K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,reused,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,train_nll_minus_log_h,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,validation_nll_minus_log_h,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,test_nll_minus_log_h,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,8,regime_h,h_0.001,14336,869.6256823850563,True,-6.58231068,0.124862805,0.703285515,3.2753891e-05,0.32544459898213685,-6.60561085,0.124723867,0.703276575,3.30150215e-05,0.3021444289821371,-6.56078243,0.125735253,0.697583854,3.3082335e-05,0.3469728489821371,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,joint_fourier,9,regime_h,h_0.001,14336,850.822603662964,True,-6.60042953,0.117028981,0.708989501,3.61408238e-05,0.3073257489821364,-6.6237483,0.11734423,0.70732373,4.10240864e-05,0.2840069789821369,-6.57533264,0.1183431,0.701729178,4.35711117e-05,0.33242263898213675,,,,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,0,regime_h,h_0.001,14336,4408.589446607046,True,-6.546123504638672,0.41324180364608765,0.6390156745910645,,0.36163177434346494,-6.571449279785156,0.4134223461151123,0.6399312019348145,,0.33630599919698057,-6.5221686363220215,0.4157812297344208,0.6365092396736145,,0.38558664266011533,9.517770376987755e-05,9.697351197246462e-05,9.528266673441976e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,1,regime_h,h_0.001,14336,4371.145834535011,True,-6.611795902252197,0.34839218854904175,0.6619529724121094,,0.29595937672993955,-6.646374702453613,0.3451337218284607,0.6607438921928406,,0.26138057652852353,-6.592052936553955,0.3509753346443176,0.6548367738723755,,0.31570234242818174,5.293378490023315e-05,5.3575251513393596e-05,5.3111129091121256e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,2,regime_h,h_0.001,14336,5160.677250018925,True,-6.587259292602539,0.3829600512981415,0.5878052115440369,,0.32049598637959775,-6.6154327392578125,0.38358625769615173,0.5890988111495972,,0.2923225397243243,-6.5724873542785645,0.3857049345970154,0.5809645652770996,,0.33526792470357236,6.356879748636857e-05,6.426436448236927e-05,6.395403761416674e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,3,regime_h,h_0.001,14336,4552.496258592,True,-6.5888590812683105,0.3217207193374634,0.5922121405601501,,0.31889619771382627,-6.615251541137695,0.32332611083984375,0.5889158248901367,,0.2925037378444415,-6.555874824523926,0.32328030467033386,0.5895317196846008,,0.35188045445821103,6.667715206276625e-05,6.729683082085103e-05,6.724497507093474e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,4,regime_h,h_0.001,14336,4393.195181504008,True,-6.496474742889404,0.3925047814846039,0.6079848408699036,,0.4112805360927325,-6.515150547027588,0.3935297727584839,0.6068306565284729,,0.3926047319545489,-6.47201681137085,0.3947226405143738,0.5999929308891296,,0.4357384676112872,5.8667668781708926e-05,6.30448485026136e-05,6.662222585873678e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,5,regime_h,h_0.001,14336,4385.554179664003,True,-6.606398105621338,0.29182082414627075,0.6240010857582092,,0.3013571733607989,-6.635937213897705,0.29239073395729065,0.6259135007858276,,0.27181806508443174,-6.581985950469971,0.29350098967552185,0.6198614835739136,,0.3257693285121661,4.301753142499365e-05,4.3774205551017076e-05,4.557182182907127e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,6,regime_h,h_0.001,14336,4366.6237723940285,True,-6.506752014160156,0.42759135365486145,0.6587216258049011,,0.40100326482198057,-6.530059337615967,0.428096204996109,0.6604562401771545,,0.37769594136617,-6.496307849884033,0.4319445788860321,0.6572914123535156,,0.4114474290981036,8.17504696897231e-05,8.136412361636758e-05,8.157572301570326e-05,,,,,,
1024,640000,dataset_roots/N_640000/h_0.001,0.001,split_fourier,7,regime_h,h_0.001,14336,4601.000456466922,True,-6.553504467010498,0.35524100065231323,0.592853307723999,,0.35425081197163877,-6.5796918869018555,0.35645514726638794,0.5999763607978821,,0.32806339208028135,-6.527708053588867,0.354819655418396,0.5889304280281067,,0.3800472253932696,3.415039100218564e-05,4.163363337283954e-05,4.280471330275759e-05,,,,,,
