iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
119,4411.8046875,0.8935546875,848.3418072274054,612,6,35.81193962661718,13.013711485568667,9.91317827721661,78b7e63605f680884c81bf5573716d804b04280ac2b75321b48dcc41baede91f,72c8268d858b55df554943cf854151fad391acf9eedaa209be33be55d1792298,5151.1162109375
120,4403.09765625,0.8701171875,858.5467733030109,626,6,36.19123423560623,13.002625985688207,10.131241455849986,2a8d16460a26ad2a13240940fb8e6b57a7ff50674eb86f92aa724554ec6a2a8f,928fb85d7ffe797bf626543c6e63d1c8329e57a1329e4bb622893c675f9c4622,5146.85009765625
121,4404.14013671875,0.876953125,862.4996964169363,611,6,37.07184211752144,12.989575616604531,10.211047669036834,96f1adcaafab4da07762c5bee54f2e3586f40e430ce799a06644a29a172a32a2,bed2d17930ea7a7e723f47d3ddfee82e77444eeb1906480d0ff2fbcbe295337a,5132.37646484375
122,4404.541015625,0.8837890625,823.8831370401825,610,6,36.80161212379811,13.071210637727132,10.249586844028794,6f74750ac61352e390481babbffdda9dd5ec7078235ce8902b98ea0c0ac0b147,7a1a6b44a7b6cbc4a40eca931b306671de69b8fb7f3c200380c0961022c022ff,5160.376953125
123,4402.927734375,0.8779296875,846.8145650634915,609,7,36.75518772575487,13.150436187261686,10.143699496443132,8760cb12c5a0f31d6a63bfce67c2576137974b56203d5195151729436ad2234d,7073517f3721f3b73c61aee223dededaf5d6e598826a1d6a271f4771ecc60bce,5184.166015625
124,4400.6787109375,0.8974609375,838.9627994399847,613,6,37.08535724701096,13.184591754238358,10.152711377087234,69bb4e582f4af21c72c04e79e655031fa5b35f89d055d9efc298357b51bee1a3,04dffce9d1b3e987b660e0d6beaf9c98e28a12e40695ee50be49ab4b62d693c1,5153.9873046875
125,4397.05224609375,0.90234375,853.0768422148487,615,5,37.08387919229879,13.09475548463891,10.145567268516338,9b4d96303a9b34ae7e90aa097b8e70fac060440142cf29f6e70e0497795222ea,f0d397e136ae7f69726027b373b4e0c23580931149a0f075e60730b95ce5bb87,5187.7119140625
126,4397.08349609375,0.8779296875,837.481205582097,620,6,36.99143093525142,13.136706535558348,10.243013733181277,5b81802a235f2c6572f8e6701991dc786c820db952cd86634148b855b364f68f,8673d7d9bfe2b2322f8f5d04dbaabf12cdf102a5c82b62abfdf44e963dfe6793,5171.9501953125
127,4390.5283203125,0.88671875,846.0196790557467,623,9,37.49727146603795,13.41550789639474,10.36280517895134,1931976905e0e746f9b80d981a25db0f4c541f33a92198716d296ed87b99706a,5241a25a3d6a4805f7cd40088723c6b97693fbe6df87d5b52639db307f489e18,5167.17822265625
128,4391.0302734375,0.8642578125,858.3241926392839,637,6,37.75712373003327,13.442550553189033,10.53987772926245,8df38c2ef850d9a811b02881b1965007cb2e82daa4293a5d00955e61153bde56,83a1ecc8f83aad6aa436e07df10af95a32251b6f3ea1ad075d286959de37750e,5154.71923828125
