method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
arff,4,test,-8.821181297302246,0.7335319519042969,0.11694329977035522,-0.16901665925979614,,0.459199994802475,
arff,5,train,-8.969606399536133,0.6466735005378723,0.11161968111991882,-0.17720213532447815,,0.44337499141693115,
arff,5,validation,-8.98586368560791,0.650152862071991,0.10944098234176636,-0.17690961062908173,,0.4377000033855438,
arff,5,test,-9.000955581665039,0.6517622470855713,0.1112590804696083,-0.17236445844173431,,0.4493999779224396,
arff,6,train,-8.913127899169922,1.1557793617248535,0.11690464615821838,-0.20535908639431,,0.4680500030517578,
arff,6,validation,-8.931601524353027,1.1625072956085205,0.11480633169412613,-0.20346111059188843,,0.4666999876499176,
arff,6,test,-8.946840286254883,1.16201651096344,0.1165558323264122,-0.20387499034404755,,0.47099998593330383,
arff,7,train,-8.838062286376953,1.055057406425476,0.11035685986280441,-0.19122013449668884,,0.4592749774456024,
arff,7,validation,-8.850872039794922,1.058104395866394,0.10846859216690063,-0.17343702912330627,,0.4593999981880188,
arff,7,test,-8.833812713623047,1.0619094371795654,0.11055788397789001,-0.1678006947040558,,0.45899999141693115,
arff,8,train,-8.830865859985352,0.6311309933662415,0.11186884343624115,-0.176315039396286,,0.43219998478889465,
arff,8,validation,-8.855537414550781,0.6290205717086792,0.10990142077207565,-0.15237045288085938,,0.4294999837875366,
arff,8,test,-8.855941772460938,0.6327344179153442,0.11174273490905762,-0.17090976238250732,,0.43779999017715454,
arff,9,train,-8.941944122314453,0.9112899303436279,0.11529823392629623,-0.18683823943138123,,0.46267497539520264,
arff,9,validation,-8.956920623779297,0.9133093953132629,0.11344043910503387,-0.18415124714374542,,0.46389999985694885,
arff,9,test,-8.951507568359375,0.9148682951927185,0.11482177674770355,-0.1779114305973053,,0.4558999836444855,
arff,10,train,-8.838040351867676,0.7075929641723633,0.11580464988946915,-0.14946003258228302,,0.46959999203681946,
arff,10,validation,-8.853677749633789,0.7085003852844238,0.11399431526660919,-0.14923299849033356,,0.46619999408721924,
arff,10,test,-8.858662605285645,0.7114456295967102,0.114859439432621,-0.14932358264923096,,0.47279998660087585,
arff,11,train,-8.95199203491211,0.7128192186355591,0.11114801466464996,-0.16157138347625732,,0.4612874984741211,
arff,11,validation,-8.988789558410645,0.7081913948059082,0.10945530235767365,-0.1447317898273468,,0.45819997787475586,
arff,11,test,-8.960076332092285,0.7112487554550171,0.1110738068819046,-0.13897605240345,,0.4602999985218048,
arff,12,train,-8.899375915527344,1.1485342979431152,0.11530185490846634,-0.18991892039775848,,0.4487375020980835,
arff,12,validation,-8.951187133789062,1.1541329622268677,0.11332358419895172,-0.18941053748130798,,0.44599997997283936,
arff,12,test,-8.912466049194336,1.1518371105194092,0.1149221733212471,-0.18766728043556213,,0.4488999843597412,
