K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_mlp,9,regime_capacity,h_0.0001,887,973.7467714840313,277,-10.8237877,0.280271769,0.29833135,4.69646466e-06,-10.8611212,0.280791819,0.301901668,4.73867385e-06,-10.8225346,0.277646244,0.295693815,4.70702571e-06,,,,,,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,0,regime_capacity,h_0.0001,887,5166.924787288066,,-10.579894068908692,0.33530710070818476,0.22935151484070243,,-10.628113325500488,0.33707076435035194,0.22537295480840083,,-10.582283059692383,0.3343725832312758,0.23253958990320464,,0,296,9.391733328811824e-06,9.434803359908983e-06,9.67901542026084e-06,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,1,regime_capacity,h_0.0001,887,4779.768367527984,,-10.617899172973633,0.27376866308873865,0.23629563657598324,,-10.652210556030273,0.2748258735764535,0.21897350761351345,,-10.644651885986327,0.27370362203107906,0.23158525400937324,,5,290,1.5103706573427189e-05,1.5253571291395929e-05,1.5291490853996947e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,2,regime_capacity,h_0.0001,887,5083.751517627039,,-10.617842263793944,0.20666607440813659,0.2528196208673579,,-10.66816827545166,0.20744046945204167,0.2530235787031359,,-10.644438125610352,0.2067829470683744,0.25208855317519285,,32,298,1.1242509572184645e-05,1.1267645277257543e-05,1.1309918590995949e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,3,regime_capacity,h_0.0001,887,4831.536285480019,,-10.818557121276855,0.3513317610982216,0.15329201873292336,,-10.869684822082519,0.3488739439436111,0.15462644454184157,,-10.834854721069336,0.35452690550422983,0.1531317387147985,,12,294,1.0069264135381673e-05,1.023953427647939e-05,1.0115398254129104e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,4,regime_capacity,h_0.0001,887,5091.240047061001,,-10.573607986450195,0.2435926002465739,0.29025076194850224,,-10.606019786071778,0.24327384035792657,0.29026329179599597,,-10.587350445556641,0.2445859777216753,0.2904410762399057,,131,294,1.4367597941600252e-05,1.4434259355766699e-05,1.4559042938344646e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,5,regime_capacity,h_0.0001,887,4779.296734084026,,-10.637709381103516,0.22269491759622445,0.22341240477778523,,-10.686662832641602,0.2234887982574575,0.22068732058079804,,-10.648664080810548,0.2207483226780787,0.22348010780908226,,3,285,1.162151420430746e-05,1.274356782232644e-05,1.3631270121550187e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,6,regime_capacity,h_0.0001,887,5303.969596264069,,-10.148261309814453,0.19917564905174218,0.2457782970041147,,-10.205159834289551,0.19908614416690334,0.2421666999159043,,-10.19698226776123,0.1980669734917566,0.24401942871481871,,2,265,1.4444325643125921e-05,1.4638657376053743e-05,1.4614790416089818e-05,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,7,regime_capacity,h_0.0001,887,4842.726116325008,,-10.598937329101563,0.3863841384342126,0.2652275592418365,,-10.640444529724121,0.3858842035132776,0.2693092741747146,,-10.634506327819825,0.38782779180324806,0.2610640537276439,,5,287,7.80717164161615e-06,7.95647156337509e-06,8.046820767049212e-06,,,,,,0.0,0.0,0.0
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,8,regime_capacity,h_0.0001,887,5068.160078278976,,-10.707679510498046,0.39344874039222805,0.207478116513151,,-10.75005697479248,0.3931043518842133,0.19941536685381495,,-10.728463217163085,0.3959926057441406,0.20524264915648174,,3,272,1.8201184502686374e-05,1.8422701032250188e-05,1.8213113435194828e-05,,,,,,0.0,0.0,0.0
